Fecha,Alcaldía,Precipitación,Temperatura Mínima,Temperatura Máxima,Inundación,Creación,Actualización
2016-08-23,Alcaldia object (101),10.80,11.50,26.00,0,2020-07-12 08:36:59+00:00,
2016-08-24,Alcaldia object (101),17.30,11.50,24.00,1,2020-07-12 08:36:59+00:00,
2016-08-25,Alcaldia object (101),3.20,12.50,26.00,0,2020-07-12 08:36:59+00:00,
2016-08-26,Alcaldia object (101),0.00,13.00,25.50,0,2020-07-12 08:36:59+00:00,
2016-08-27,Alcaldia object (101),12.70,13.50,26.50,0,2020-07-12 08:36:59+00:00,
2016-08-28,Alcaldia object (101),26.30,15.00,27.00,0,2020-07-12 08:36:59+00:00,
2016-08-29,Alcaldia object (101),3.80,14.50,26.50,1,2020-07-12 08:36:59+00:00,
2016-08-30,Alcaldia object (101),0.00,13.50,26.00,0,2020-07-12 08:36:59+00:00,
2016-08-31,Alcaldia object (101),0.00,12.00,27.00,0,2020-07-12 08:36:59+00:00,
2016-09-01,Alcaldia object (101),0.00,11.50,17.00,0,2020-07-12 08:36:59+00:00,
2016-09-02,Alcaldia object (101),0.80,15.50,26.00,0,2020-07-12 08:36:59+00:00,
2016-09-03,Alcaldia object (101),3.60,16.00,23.00,0,2020-07-12 08:36:59+00:00,
2016-09-04,Alcaldia object (101),1.70,15.00,22.00,0,2020-07-12 08:36:59+00:00,
2016-09-05,Alcaldia object (101),0.00,14.00,22.00,0,2020-07-12 08:36:59+00:00,
2016-09-06,Alcaldia object (101),0.00,14.50,26.50,0,2020-07-12 08:36:59+00:00,
2016-09-07,Alcaldia object (101),1.20,12.00,26.00,0,2020-07-12 08:36:59+00:00,
2016-09-08,Alcaldia object (101),0.00,12.00,27.00,0,2020-07-12 08:36:59+00:00,
2016-09-09,Alcaldia object (101),0.00,11.00,26.50,0,2020-07-12 08:36:59+00:00,
2016-09-10,Alcaldia object (101),0.00,11.50,27.50,0,2020-07-12 08:36:59+00:00,
2016-09-11,Alcaldia object (101),14.90,12.00,26.00,0,2020-07-12 08:36:59+00:00,
2016-09-12,Alcaldia object (101),0.00,10.50,25.50,0,2020-07-12 08:36:59+00:00,
2016-09-13,Alcaldia object (101),0.00,15.00,27.00,0,2020-07-12 08:36:59+00:00,
2016-09-14,Alcaldia object (101),0.00,12.00,27.00,0,2020-07-12 08:36:59+00:00,
2016-09-15,Alcaldia object (101),0.00,12.50,28.50,0,2020-07-12 08:36:59+00:00,
2016-09-16,Alcaldia object (101),1.00,16.00,26.50,0,2020-07-12 08:36:59+00:00,
2016-09-17,Alcaldia object (101),0.00,15.00,26.00,0,2020-07-12 08:36:59+00:00,
2016-09-18,Alcaldia object (101),0.00,14.50,28.00,0,2020-07-12 08:36:59+00:00,
2016-09-19,Alcaldia object (101),0.00,15.00,28.50,0,2020-07-12 08:36:59+00:00,
2016-09-20,Alcaldia object (101),0.30,12.00,25.50,0,2020-07-12 08:36:59+00:00,
2016-09-21,Alcaldia object (101),6.50,12.00,25.50,0,2020-07-12 08:36:59+00:00,
2016-09-22,Alcaldia object (101),0.40,13.00,25.50,0,2020-07-12 08:36:59+00:00,
2016-09-23,Alcaldia object (101),10.00,13.50,24.00,0,2020-07-12 08:36:59+00:00,
2016-09-24,Alcaldia object (101),0.00,13.00,24.00,0,2020-07-12 08:36:59+00:00,
2016-09-25,Alcaldia object (101),8.20,8.00,25.50,0,2020-07-12 08:36:59+00:00,
2016-09-26,Alcaldia object (101),0.00,14.50,25.50,0,2020-07-12 08:36:59+00:00,
2016-09-27,Alcaldia object (101),0.80,15.00,22.50,0,2020-07-12 08:36:59+00:00,
2016-09-28,Alcaldia object (101),5.20,15.00,23.00,0,2020-07-12 08:36:59+00:00,
2016-09-29,Alcaldia object (101),1.50,14.00,25.00,0,2020-07-12 08:36:59+00:00,
2016-09-30,Alcaldia object (101),10.90,13.50,24.00,0,2020-07-12 08:36:59+00:00,
2016-10-01,Alcaldia object (101),0.40,12.50,24.50,0,2020-07-12 08:36:59+00:00,
2016-10-02,Alcaldia object (101),0.00,12.50,25.00,0,2020-07-12 08:36:59+00:00,
2016-10-03,Alcaldia object (101),0.00,12.00,27.00,0,2020-07-12 08:36:59+00:00,
2016-10-04,Alcaldia object (101),0.00,12.50,27.50,0,2020-07-12 08:36:59+00:00,
2016-10-05,Alcaldia object (101),0.00,13.00,28.00,0,2020-07-12 08:36:59+00:00,
